original_language,title,popularity
en,Minions,875.5813
ja,千と千尋の神隠し,118.96856
es,El laberinto del fauno,90.80941
it,"Il buono, il brutto, il cattivo",88.377075
fr,Le fabuleux destin d'Amélie Poulain,73.720245
ko,Snowpiercer,64.238686
zh,卧虎藏龙,45.742252
pt,Cidade de Deus,44.356712
id,Serbuan maut,40.285095
da,What Happens in Vegas,38.100487
de,Das Leben der Anderen,34.938175
el,Κυνόδοντας,28.858238
ru,Солярис,24.13227
cn,葉問3,19.167377
te,Baahubali: The Beginning,16.254032
he,Vals Im Bashir,14.08251
hi,Dabba,14.017809
nl,Zwartboek,13.906611
pl,Ida,13.265432
nb,Trolljegeren,12.982319
fa,جدایی نادر از سیمین,12.049373
th,ต้มยำกุ้ง,11.81832
sv,Viskningar och rop,11.347855
no,Død snø,11.205726
ro,"4 luni, 3 săptămîni și 2 zile",9.270133
xx,La Guerre du feu,6.537986
ar,The Square,4.892203
af,Tsotsi,2.504169
cs,Obsluhoval jsem anglického krále,2.387463
hu,Sorstalanság,1.906807
is,Hross í oss,1.617943
tr,Kurtlar vadisi - Irak,1.465762
ps,Osama,1.447734
ta,ராமானுஜன்,0.416179
ky,Kurmanjan Datka. Queen of the Mountains,0.077873
vi,Vượt Sóng,0.072066
sl,Julija in Alfa Romeo,0.061248
